Key,Role,Story,Points,Rationale
TEAM5-25,Sales Associate,"As a Sales Associate, I want to create ship-from-warehouse orders for remote selling, so that products not available in-store can be shipped directly to the client.",3,Order created against warehouse stock + shipping details. >2 (cross-location order); <5 (standard order flow).
TEAM5-26,Sales Associate,"As a Sales Associate, I want the system to generate product recommendations based on a client's purchase patterns and preferences, so that I have data-driven suggestions to present.",8,AI recommendations - Core ML model + inference pipeline + data prep (first ML subsystem). Top of scale (8) due to tech-stack difficulty; >5.
TEAM5-27,Sales Associate,"As a Sales Associate, I want the system to suggest trending and similar products for new clients with no purchase history, so that I can still offer relevant options.",3,Cold-start trending/similar fallback for new clients. >2 (model/heuristic); <5 (simpler fallback than the full pattern engine).
TEAM5-28,Sales Associate,"As a Sales Associate, I want the system to surface complementary products at the cart stage, so that I can suggest cross-sell options to the client.",3,Surface complementary items at the cart stage. >2 (cart-context logic); <5 (reuses recommendation engine).
TEAM5-29,Sales Associate,"As a Sales Associate, I want the system to suggest higher-value alternatives at the cart stage, so that I can offer upsell options that match the client's taste.",3,Surface higher-value alternatives at the cart stage. >2 (cart-context logic); <5 (reuses recommendation engine).
TEAM5-30,Sales Associate,"As a Sales Associate, I want to check inventory availability (in-store, warehouse, nearby stores) before presenting a product, so that I don't recommend items that are out of stock.",3,Real-time availability across in-store/warehouse/nearby. >2 (multi-source query); <5 (read aggregation).
TEAM5-31,Sales Associate,"As a Sales Associate, I want to scan a product's QR code at the point of sale, so that both the client's purchase history and the store's inventory records are updated simultaneously in one action.",8,QR sale dual-update - first Vision/QR scanner infra + atomic inventory+history transaction + concurrency. Top of scale (8); >5.
TEAM5-32,Sales Associate,"As a Sales Associate, I want the system to suggest similar alternative products when the desired item is unavailable, so that I can still serve the client without losing the sale.",3,Suggest alternatives when the item is unavailable. >2 (conditional path); <5 (reuses recommendations).
TEAM5-33,Sales Associate,"As a Sales Associate, I want to take payment via Razorpay and issue a digital receipt, so that checkout is fast and compliant.",8,Razorpay - external payment SDK + compliance + digital receipt (first payment subsystem). Top of scale (8); >5.
TEAM5-34,Sales Associate,"As a Sales Associate, I want to process payments via card terminal (tap/swipe), so that clients can pay with credit or debit cards.",3,Card-terminal (tap/swipe) integration capturing the result. >2 (hardware integration); kept <5/8 because result handling is more bounded than the Razorpay SDK flow.
TEAM5-35,Sales Associate,"As a Sales Associate, I want to route the completed order as a store sale, BOPIS reservation, or ship-from-warehouse, so that the correct fulfilment process is triggered based on the order type.",3,Branch the completed order into 3 fulfilment flows. >2 (multi-path routing); <5 (each path defined elsewhere).
TEAM5-40,After-Sales,"As an After-Sales Specialist, I want to scan a product's QR code to look up the item, so that I can quickly identify the product and pull its records.",3,Vision QR scan + record retrieval. >2 (scan + lookup); <5 (scan infra reused from sales).
TEAM5-41,After-Sales,"As an After-Sales Specialist, I want to manually enter product details if the QR scan fails, so that I can still create a ticket for items with damaged labels.",2,Simple manual-entry form when the scan fails. >1 (alternate path); <3 (basic form).
TEAM5-42,After-Sales,"As an After-Sales Specialist, I want to pull the client's purchase history linked to the product, so that I have full context on the original transaction.",2,Lookup purchase record by serial + display. >1 (linked query); <3 (read only).
TEAM5-43,After-Sales,"As an After-Sales Specialist, I want to capture condition photos and a diagnostic report in-app at intake, so that the item's state is documented before any work begins.",3,In-app condition-photo capture + diagnostics stored with the ticket. >2 (media capture + storage); <5 (no processing).
TEAM5-44,After-Sales,"As an After-Sales Specialist, I want to create an after-sales ticket (AST) tagged with the correct service type (exchange, return, repair, warranty), so that the ticket follows the right workflow.",3,AST creation whose service type drives the downstream workflow. >2 (type-driven routing); <5 (form + branch).
TEAM5-45,After-Sales,"As an After-Sales Specialist, I want to validate whether the product's warranty is still active, so that I can flag it as a warranty repair (free) or a paid repair.",3,Serial lookup -> warranty status -> free/paid branch. >2 (lookup + decision); <5 (single rule).
TEAM5-46,After-Sales,"As an After-Sales Specialist, I want the system to flag out-of-warranty or voided coverage clearly, so that the client is informed upfront about potential costs.",2,Coverage status indicator + paid-repair flag. >1 (derived flag/UI); <3 (display).
TEAM5-47,After-Sales,"As an After-Sales Specialist, I want to track a repair through defined stages, so that the progress is transparent and auditable.",3,Repair state machine with timestamped transitions. >2 (ordered stages); <5 (bounded states).
TEAM5-48,After-Sales,"As an After-Sales Specialist, I want a mandatory QA checklist to be completed before marking a repair as done, so that no item is returned to the client without quality verification.",3,Gate that blocks completion until the QA checklist is fully done. >2 (gating logic); <5 (single rule).
TEAM5-49,After-Sales,"As an After-Sales Specialist, I want to send items back to repair if they fail the QA check, so that issues are resolved before the client receives the product.",2,Single transition returning the item to repair + reason log. >1 (transition + log); <3 (one step).
TEAM5-50,After-Sales,"As an After-Sales Specialist, I want to schedule a store pickup or courier for the completed item, so that the client can conveniently collect or receive their product.",3,Scheduling with pickup or courier options. >2 (two methods); <5 (bounded).
TEAM5-51,After-Sales,"As an After-Sales Specialist, I want to generate return documentation for the completed service, so that there is a formal record of the handover.",2,Generate a return document attached to the AST. >1 (doc generation); <3 (templated).
TEAM5-52,After-Sales,"As an After-Sales Specialist, I want the client to digitally sign off on collection, so that we have proof of delivery and the ticket can be formally closed.",3,Digital signature capture stored against the ticket. >2 (signature handling); <5 (single capture).
TEAM5-53,After-Sales,"As an After-Sales Specialist, I want to scan a final packaging QR before releasing the item, so that inventory records are updated and the AST is closed accurately.",3,Packaging QR scan gate before release + close + inventory sync. >2 (gate + sync); <5 (reuses scan).
TEAM5-54,After-Sales,"As an After-Sales Specialist, I want to generate an itemised cost estimate (parts + labour + timeline), so that the client knows exactly what the repair will cost and how long it will take.",3,Compute an itemised estimate (parts + labour + timeline). >2 (computation + breakdown); <5 (form + calc).
TEAM5-55,After-Sales,"As an After-Sales Specialist, I want to send the cost estimate to the client digitally for approval or decline, so that no work begins without the client's consent.",3,Secure link to the client + record approve/decline. >2 (link issuance + decision capture); <5 (reuses link infra).
TEAM5-56,After-Sales,"As an After-Sales Specialist, I want the repair to proceed only after client approval, so that we avoid disputes over unauthorised work.",3,Block the repair from advancing until approval is recorded. >2 (gating); <5 (single rule).
TEAM5-57,After-Sales,"As an After-Sales Specialist, I want declined repairs to skip the repair workflow and go directly to return/pickup scheduling, so that the client can retrieve their item without delay.",2,Routing rule sending declined repairs straight to pickup. >1 (conditional route); <3 (one branch).
TEAM5-58,Admin,"As an Admin, I want the manager profile view to be read-only, so that performance records cannot be altered.",1,"Pure display with edit controls removed - the simplest possible item, hence 1 (nothing below it)."
TEAM5-60,Admin,"As an Admin, I want to log in with my credentials, so that I can access only the features and data relevant to my role.",8,Bootstraps the app - Passkey + RBAC framework + scaffold (MVVM/DI/navigation) + Keychain - on top of the login feature. Top of the scale (8); true effort exceeds a typical 8 but the scale is capped at 8.
TEAM5-61,Manager,"As a Manager, I want to log in with my credentials, so that I can access only the features and data relevant to my role.",2,Reuses the auth framework built in TEAM5-60; only role-scoping/routing differs. 2 - lighter than a standard feature.
TEAM5-62,Sales Associate,"As a Sales Associate I want to log in with my credentials, so that I can access only the features and data relevant to my role.",2,Reuses the auth framework from TEAM5-60; only role-scoping differs. 2 - lighter than a standard feature.
TEAM5-63,After-Sales,"As an After-Sales Specialist I want to log in with my credentials, so that I can access only the features and data relevant to my role.",2,Reuses the auth framework from TEAM5-60; only role-scoping differs. 2 - lighter than a standard feature.
TEAM5-65,Admin,"As an Admin, I want to filter the revenue dashboard by country, so that I can analyse performance across specific geographies.",2,A country filter on an existing dashboard. >1 (recompute + UI control); <3 (no new data or logic).
TEAM5-66,Admin,"As an Admin, I want to create a new SKU with product details and define its launch date, so that the product is catalogued and ready for distribution.",3,SKU form + uniqueness + launch-date validation + cataloguing. >2 for the rules; <5 because asset push lives in a separate concern.
TEAM5-67,Admin,"As an Admin, I want to set a minimum floor price per SKU per currency, so that managers cannot discount below a level that protects brand value and margins.",3,Per-currency price-band data model + floor constraint enforced downstream. >2 for the model + rule; <5 because enforcement logic sits in the pricing service.
TEAM5-68,Admin,"As an Admin, I want to receive and review transfer requests raised by managers, so that I can evaluate stock needs across the network.",2,Queue/list of transfer requests with sort. >1 (query + display); <3 (no decision logic - that is a separate story).
TEAM5-70,Manager,"As a Manager, I want to track RSVP responses (Accepted, Declined, Pending), so that I can estimate event attendance.",2,RSVP status capture per invitee + counts. >1 (per-invitee state); <3 (simple tracking).
TEAM5-71,Manager,"As a Manager, I want to view event analytics and RSVP reports, so that I can evaluate event performance.",3,Aggregated invites/RSVP/attendance report + export. >2 (aggregation + export); <5 (reporting on existing data).
TEAM5-72,Admin,As an Admin I want to remove store profile so that the store which is not operational doesn't reflect in database.,3,Soft-delete + confirmation + retain history + hide from active lists. >2 (more than a delete button); <5 (contained scope).
TEAM5-73,Admin,As an Admin I want to delete Manager profile so that the person who has resgined is not in the database anymore.,2,"Soft-delete + audit on a single entity. >1 (confirmation/audit); <3 (single record, no cascade workflow)."
TEAM5-74,Manager,As a Manager I want to delete Staff profile so that the person who has resgined is not in the database anymore.,2,Soft-delete + audit of a staff record. >1 (confirmation/audit); <3 (single entity).
TEAM5-75,After-Sales,"As an After-Sales Associate, I want to verify a product's authenticity so that counterfeit items are not accepted for service.",5,Serial/certificate authenticity verification + counterfeit flag. >3 (cross-checks beyond a lookup); <8 (no external/ML verification).
TEAM5-76,After-Sales,"As an After-Sales Associate, I want to view a product's service history so that I can understand previous repairs before creating a new request.",3,Service history by serial with prior outcomes. >2 (linked history); <5 (read aggregation).
TEAM5-77,After-Sales,"As an After-Sales Associate, I want to view pending customer approvals so that I can follow up on delayed responses.",2,Pending-approvals list with an age indicator. >1 (filtered list + derived field); <3 (read only).
TEAM5-79,After-Sales,"As an After-Sales Associate, I want to generate invoices for completed repairs so that customers receive a detailed breakdown of charges.",3,Itemised invoice for completed paid repairs. >2 (computation + document); <5 (templated).
TEAM5-80,After-Sales,"As an After-Sales Associate, I want to filter repair requests by status so that I can quickly locate specific service cases.",2,Filter repair requests by status. >1 (filter control); <3 (list view).
TEAM5-81,After-Sales,"As an After-Sales Associate, I want to view all active service requests so that I can monitor ongoing repair workloads.",2,List active service requests with stage/assignee. >1 (query + display); <3 (read only).
TEAM5-82,Admin,"As an Admin, I want to verify warehouse stock availability for requested items so that I can decide whether inventory can be transferred immediately.",2,On-hand lookup per location + shortfall flag. >1 (query + indicator); <3 (no decision/routing here).
TEAM5-83,Admin,"As an Admin, I want to approve transfer requests when sufficient stock is available so that inventory can be dispatched to stores.",3,Approval that checks stock and routes from a source store. >2 (conditional logic + state change); <5 (no multi-store optimisation).
TEAM5-84,Admin,"As an Admin, I want to create purchase orders when warehouse stock is insufficient so that required inventory can be replenished.",3,"PO form + supplier, triggered when stock is insufficient. >2 (trigger condition + form); <5 (standard CRUD)."
TEAM5-85,Admin,"As an Admin, I want to dispatch approved inventory transfers to stores so that requested products reach their destination.",3,"State transition + source decrement + in-transit marking. >2 (inventory mutation logic); <5 (single, well-defined transition)."
TEAM5-86,Admin,"As an Admin, I want store managers to receive transfer status notifications so that they can prepare for incoming inventory.",5,First notification story - absorbs the push/SMS notification infrastructure. >2 because the messaging pipeline is built here; later notifications reuse it.
