Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Atlassian Project),Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
"As an After-Sales Associate, I want to generate invoices for completed repairs so that customers receive a detailed breakdown of charges.",TEAM5-79,10082,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Prakhar Manu,712020:8792614a-1248-4d5b-b571-a82b6010870e,Prakhar Manu,712020:8792614a-1248-4d5b-b571-a82b6010870e,19/Jun/26 11:23 PM,22/Jun/26 10:22 AM,,,,0,"*Acceptance Criteria*

* Invoice contains repair details.
* Costs are itemized.
* Invoice can be viewed and downloaded.",,Prakhar Manu,712020:8792614a-1248-4d5b-b571-a82b6010870e,,,,,,,,,,,,0|i000ej:,,,3.0,,,,10042,TEAM5-39,After Sales,To Do,19/Jun/26 11:23 PM
"As an After-Sales Associate, I want to view pending customer approvals so that I can follow up on delayed responses.",TEAM5-77,10080,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Prakhar Manu,712020:8792614a-1248-4d5b-b571-a82b6010870e,Prakhar Manu,712020:8792614a-1248-4d5b-b571-a82b6010870e,19/Jun/26 11:16 PM,22/Jun/26 10:22 AM,,,,0,"*Acceptance Criteria*

* Pending approvals list is displayed.
* Approval age is visible.
* User can filter pending requests.",,Prakhar Manu,712020:8792614a-1248-4d5b-b571-a82b6010870e,,,,,,,,,,,,0|i000e3:,,,2.0,,,,10042,TEAM5-39,After Sales,To Do,19/Jun/26 11:16 PM
"As an After-Sales Associate, I want to view a product's service history so that I can understand previous repairs before creating a new request.",TEAM5-76,10079,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Prakhar Manu,712020:8792614a-1248-4d5b-b571-a82b6010870e,Prakhar Manu,712020:8792614a-1248-4d5b-b571-a82b6010870e,19/Jun/26 11:16 PM,22/Jun/26 10:22 AM,,,,0,"*Acceptance Criteria*

* Previous ASTs are displayed.
* Past repairs are visible.
* Dates and statuses are shown.",,Prakhar Manu,712020:8792614a-1248-4d5b-b571-a82b6010870e,,,,,,,,,,,,0|i000dv:,,,3.0,,,,10042,TEAM5-39,After Sales,To Do,19/Jun/26 11:16 PM
"As an After-Sales Associate, I want to verify a product's authenticity so that counterfeit items are not accepted for service.",TEAM5-75,10078,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Prakhar Manu,712020:8792614a-1248-4d5b-b571-a82b6010870e,Prakhar Manu,712020:8792614a-1248-4d5b-b571-a82b6010870e,19/Jun/26 11:15 PM,22/Jun/26 10:22 AM,,,,0,"*Acceptance Criteria*

* Product authenticity request can be submitted.
* Result is recorded.
* Counterfeit products are flagged.
* Service cannot continue for rejected items.",,Prakhar Manu,712020:8792614a-1248-4d5b-b571-a82b6010870e,,,,,,,,,,,,0|i000dn:,,,5.0,,,,10042,TEAM5-39,After Sales,To Do,19/Jun/26 11:15 PM
As a Manager I want to delete Staff profile so that the person who has resgined is not in the database anymore.,TEAM5-74,10077,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,19/Jun/26 11:08 PM,22/Jun/26 10:39 PM,,,,0,"Acceptance Criteria

1. Only a Manager can delete a staff profile, and only for associates assigned to their own store.
2. Before deletion, a confirmation dialog appears with the associate's name. The profile is removed only if the Manager confirms.
3. If the associate has any open tasks (active appointment, pending order, or open AST ticket), the system blocks deletion and prompts the Manager to reassign or close those tasks first.",,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,,,,,,,,,,,0|i00026:xi,NIRALI Sprint 1,,2.0,,,,10040,TEAM5-37,Manager,To Do,19/Jun/26 11:08 PM
As an Admin I want to delete Manager profile so that the person who has resgined is not in the database anymore.,TEAM5-73,10076,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,19/Jun/26 11:07 PM,22/Jun/26 10:39 PM,,,,0,"*Acceptance Criteria*

* Admin can deactivate manager accounts.
* Deactivated managers cannot access the system.
* Historical assignments and performance records remain available.
* Store ownership must be reassigned before deactivation.
* Only Admin users can perform deactivation.",,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,,,,,,,,,,,0|i00022:y,NIRALI Sprint 1,,2.0,,,,10039,TEAM5-36,Admin,To Do,19/Jun/26 11:07 PM
As an Admin I want to remove store profile so that the store which is not operational doesn't reflect in database.,TEAM5-72,10075,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,19/Jun/26 11:05 PM,22/Jun/26 11:13 PM,,,,0,"*Acceptance Criteria*

* Admin can archive inactive stores.
* Archived stores no longer appear in operational workflows.
* Historical sales and inventory records remain accessible.
* Archived stores cannot process new transactions.
* Only Admin users can archive stores.",,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,,,,,,,,,,,0|i00022:x,NIRALI Sprint 1,,3.0,,,,10039,TEAM5-36,Admin,To Do,19/Jun/26 11:05 PM
"As a Manager, I want to view event analytics and RSVP reports, so that I can evaluate event performance.",TEAM5-71,10074,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Harman Singh,712020:59abf107-e6f2-43c2-b927-47a4f301b85f,Harman Singh,712020:59abf107-e6f2-43c2-b927-47a4f301b85f,19/Jun/26 10:37 PM,22/Jun/26 10:22 AM,,,,0,"Acceptance Criteria

1.⁠ ⁠System displays total invitations sent.
2.⁠ ⁠System displays accepted, declined, and pending responses.
3.⁠ ⁠Manager can view attendance-related statistics.
4.⁠ ⁠Reports can be filtered by event.
5.⁠ ⁠Reports can be exported or shared.",,Harman Singh,712020:59abf107-e6f2-43c2-b927-47a4f301b85f,,,,,,,,,,,,0|i0002t:,,,3.0,,,,10040,TEAM5-37,Manager,To Do,19/Jun/26 10:37 PM
"As a Manager, I want to track RSVP responses (Accepted, Declined, Pending), so that I can estimate event attendance.",TEAM5-70,10073,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Harman Singh,712020:59abf107-e6f2-43c2-b927-47a4f301b85f,Harman Singh,712020:59abf107-e6f2-43c2-b927-47a4f301b85f,19/Jun/26 10:37 PM,22/Jun/26 10:22 AM,,,,0,"Acceptance Criteria

1.⁠ ⁠System records RSVP responses.
2.⁠ ⁠RSVP status is displayed as Accepted, Declined, or Pending.
3.⁠ ⁠Manager can view RSVP status for each invited customer.
4.⁠ ⁠Manager can filter responses by RSVP status.
5.⁠ ⁠RSVP information is updated whenever responses are received.",,Harman Singh,712020:59abf107-e6f2-43c2-b927-47a4f301b85f,,,,,,,,,,,,0|i0002r:,,,2.0,,,,10040,TEAM5-37,Manager,To Do,19/Jun/26 10:37 PM
"As an Admin, I want to receive and review transfer requests raised by managers, so that I can evaluate stock needs across the network.",TEAM5-68,10071,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,19/Jun/26 7:31 PM,22/Jun/26 11:12 PM,,,,0,"*Acceptance Criteria*

* Admin can view all transfer requests submitted by managers.
* Request details include SKU, quantity, urgency, source, and destination.
* Requests can be filtered by status.
* Request history remains visible after review.
* Admin can approve or reject a request.",,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,,,,,,,,,,,0|i00022:v,NIRALI Sprint 1,,2.0,,,,10039,TEAM5-36,Admin,To Do,19/Jun/26 7:31 PM
"As an Admin, I want to set a minimum floor price per SKU per currency, so that managers cannot discount below a level that protects brand value and margins.",TEAM5-67,10070,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,19/Jun/26 7:31 PM,22/Jun/26 10:39 PM,,,,0,"*Acceptance Criteria*

* Admin can define a floor price per SKU and currency.
* Floor price cannot exceed the base price.
* Managers cannot save prices below the floor price.
* System displays validation messages when rules are violated.
* Updated floor prices take effect immediately.",,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,,,,,,,,,,,0|i00022:r,NIRALI Sprint 1,,3.0,,,,10039,TEAM5-36,Admin,To Do,19/Jun/26 7:31 PM
"As an Admin, I want to create a new SKU with product details and define its launch date, so that the product is catalogued and ready for distribution.",TEAM5-66,10069,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,19/Jun/26 7:30 PM,22/Jun/26 10:39 PM,,,,0,"*Acceptance Criteria*

* Admin can create a SKU with name, category, description, and price.
* SKU identifier must be unique.
* Launch date must be today or a future date.
* Product details are saved successfully.
* Created SKU appears in the product catalog.
* SKU can be assigned to target stores.",,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,,,,,,,,,,,0|i00022:i,NIRALI Sprint 1,,3.0,,,,10039,TEAM5-36,Admin,To Do,19/Jun/26 7:30 PM
"As an Admin, I want to filter the revenue dashboard by country, so that I can analyse performance across specific geographies.",TEAM5-65,10068,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,19/Jun/26 7:29 PM,22/Jun/26 10:21 AM,,,,0,"*Acceptance Criteria*

* Admin can filter revenue data by country.
* Multiple countries can be selected simultaneously.
* Dashboard updates automatically after filter selection.
* Filtered data matches underlying sales records.
* Filters can be cleared without page refresh.",,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,,,,,,,,,,,0|i0002d:,,,2.0,,,,10039,TEAM5-36,Admin,To Do,19/Jun/26 7:29 PM
"As an After-Sales Specialist I want to log in with my credentials, so that I can access only the features and data relevant to my role.",TEAM5-63,10066,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,19/Jun/26 7:23 PM,22/Jun/26 10:21 AM,,,,0,"*Acceptance Criteria*

* Valid users can log in.
* Invalid credentials show error.
* After-Sales users only see authorized features.
* Session remains active until logout.",,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,,,,,,,,,,,0|i000cr:,,,3.0,,,,10042,TEAM5-39,After Sales,To Do,19/Jun/26 7:23 PM
"As a Sales Associate I want to log in with my credentials, so that I can access only the features and data relevant to my role.",TEAM5-62,10065,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,19/Jun/26 7:23 PM,22/Jun/26 10:05 PM,,,,0,"Acceptance Criteria:

* Sales Associate can log in using valid credentials.
* System validates the entered username/email and password.
* System displays an error message when invalid credentials are entered.
* System prevents login when required login fields are empty.",,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,,,,,,,,,,,0|i00026:y,NIRALI Sprint 1,,3.0,,,,10041,TEAM5-38,Sales Associate,To Do,19/Jun/26 7:23 PM
"As a Manager, I want to log in with my credentials, so that I can access only the features and data relevant to my role.",TEAM5-61,10064,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,19/Jun/26 7:22 PM,22/Jun/26 9:52 PM,,,,0,"Acceptance Criteria

1.⁠ ⁠Manager can log in using valid credentials.
2.⁠ ⁠System displays an error message for invalid credentials.
3.⁠ ⁠Manager is redirected to the dashboard after successful login.
4.⁠ ⁠Only manager-authorized features are accessible.
5.⁠ ⁠User session remains active until logout.",,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,,,,,,,,,,,0|i00026:x,NIRALI Sprint 1,,3.0,,,,10040,TEAM5-37,Manager,To Do,19/Jun/26 7:22 PM
"As an Admin, I want to log in with my credentials, so that I can access only the features and data relevant to my role.",TEAM5-60,10063,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,19/Jun/26 7:21 PM,22/Jun/26 11:28 PM,22/Jun/26 2:39 PM,,,0,"*Acceptance Criteria*

# Admin can log in using valid credentials (email and password).
# System displays an error message for invalid credentials.
# Admin is redirected to the Admin Dashboard after successful login.
# Only Admin-authorised features (store management, pricing, transfers, revenue) are accessible.
# User session remains active until logout",,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,,,,,,,,,,,0|i0000o:,NIRALI Sprint 1,,5.0,,,,10039,TEAM5-36,Admin,To Do,19/Jun/26 7:21 PM
"As an Admin, I want the manager profile view to be read-only, so that performance records cannot be altered.",TEAM5-58,10061,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Harman Singh,712020:59abf107-e6f2-43c2-b927-47a4f301b85f,Harman Singh,712020:59abf107-e6f2-43c2-b927-47a4f301b85f,19/Jun/26 5:47 PM,22/Jun/26 10:39 PM,,,,0,"*Acceptance Criteria*

* Admin can view manager profile information.
* Performance metrics are displayed in read-only mode.
* Editing controls are unavailable.
* Historical performance data remains unchanged.
* Unauthorized modifications are prevented.",,Harman Singh,712020:59abf107-e6f2-43c2-b927-47a4f301b85f,,,,,,,,,,,,0|i00021:,NIRALI Sprint 1,,1.0,,,,10039,TEAM5-36,Admin,To Do,19/Jun/26 5:47 PM
"As an After-Sales Specialist, I want declined repairs to skip the repair workflow and go directly to return/pickup scheduling, so that the client can retrieve their item without delay.",TEAM5-57,10060,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,19/Jun/26 3:20 PM,22/Jun/26 10:21 AM,,,,0,"*Acceptance Criteria*

* Rejected estimates bypass repair stages.
* Return scheduling becomes available.
* Status changes to Awaiting Return.",,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,,,,,,,,,,,0|i000cn:,,,2.0,,,,10042,TEAM5-39,After Sales,To Do,19/Jun/26 3:20 PM
"As an After-Sales Specialist, I want the repair to proceed only after client approval, so that we avoid disputes over unauthorised work.",TEAM5-56,10059,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,19/Jun/26 3:19 PM,20/Jun/26 2:43 PM,,,,0,"*Acceptance Criteria*

* Repair cannot start before approval.
* Approved estimates unlock repair workflow.
* Rejected estimates remain blocked.",,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,,,,,,,,,,,0|i000cf:,,,3.0,,,,10042,TEAM5-39,After Sales,To Do,19/Jun/26 3:19 PM
"As an After-Sales Specialist, I want to send the cost estimate to the client digitally for approval or decline, so that no work begins without the client's consent.",TEAM5-55,10058,Story,To Do,TEAM5,Team_5,software,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,Medium,,,,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,19/Jun/26 3:19 PM,22/Jun/26 10:21 AM,,,,0,"*Acceptance Criteria*

* Estimate can be sent digitally.
* Approval link/status is generated.
* Approval response is recorded.",,Nirali Garg,712020:359e5d09-e56c-41ff-967f-c8b8b4a2ada4,,,,,,,,,,,,0|i000c7:,,,3.0,,,,10042,TEAM5-39,After Sales,To Do,19/Jun/26 3:19 PM
