Key,Role,User Story,Acceptance Criteria,Priority,Story Points,Sprint,Status,Epic
TEAM5-72,Admin,As an Admin I want to remove store profile so that the store which is not operational doesn't reflect in database.,Deactivate/remove with confirmation; history retained; hidden from active lists,Low,2,1,Done,Store Onboarding
TEAM5-73,Admin,As an Admin I want to delete Manager profile so that the person who has resgined is not in the database anymore.,Delete requires confirmation; soft-delete + audit-logged; removed manager cannot log in,Low,2,1,Done,Profiles
TEAM5-74,Manager,As a Manager I want to delete Staff profile so that the person who has resgined is not in the database anymore.,Delete requires confirmation; soft-delete + audit-logged; removed staff cannot log in,Low,2,3,To Do,Profiles
TEAM5-75,After-Sales,"As an After-Sales Associate, I want to verify a product's authenticity so that counterfeit items are not accepted for service.",Authenticity check by serial/certificate; flags suspected counterfeit,Medium,5,3,To Do,AST Intake & Warranty
TEAM5-76,After-Sales,"As an After-Sales Associate, I want to view a product's service history so that I can understand previous repairs before creating a new request.",History by serial number; shows prior ASTs/outcomes,Low,3,3,To Do,AST Intake & Warranty
TEAM5-77,After-Sales,"As an After-Sales Associate, I want to view pending customer approvals so that I can follow up on delayed responses.",Lists ASTs awaiting client approval; shows age of request,Low,2,3,To Do,After-Sales Workload Views
TEAM5-79,After-Sales,"As an After-Sales Associate, I want to generate invoices for completed repairs so that customers receive a detailed breakdown of charges.",Invoice itemizes parts + labour; only for completed paid repairs,Medium,3,3,To Do,Repair & QA
TEAM5-80,After-Sales,"As an After-Sales Associate, I want to filter repair requests by status so that I can quickly locate specific service cases.",Filter by stage/status; results update immediately,Low,2,3,To Do,After-Sales Workload Views
TEAM5-81,After-Sales,"As an After-Sales Associate, I want to view all active service requests so that I can monitor ongoing repair workloads.",Lists all active ASTs; shows stage and assignee,Low,2,3,To Do,After-Sales Workload Views
TEAM5-82,Admin,"As an Admin, I want to verify warehouse stock availability for requested items so that I can decide whether inventory can be transferred immediately.",Shows on-hand qty per location; flags shortfall if none available,High,2,1,Done,Inter-store Transfers
TEAM5-83,Admin,"As an Admin, I want to approve transfer requests when sufficient stock is available so that inventory can be dispatched to stores.",Approve available only if source store has stock; routes from best-placed store,High,3,1,Done,Inter-store Transfers
TEAM5-84,Admin,"As an Admin, I want to create purchase orders when warehouse stock is insufficient so that required inventory can be replenished.","PO raised when no store can fulfil; PO captures SKU, qty, supplier, expected date",Medium,3,2,To Do,Inter-store Transfers
TEAM5-85,Admin,"As an Admin, I want to dispatch approved inventory transfers to stores so that requested products reach their destination.",Only approved transfers dispatchable; dispatch decrements source and marks in-transit,High,2,2,To Do,Inter-store Transfers
TEAM5-86,Admin,"As an Admin, I want store managers to receive transfer status notifications so that they can prepare for incoming inventory.","Manager notified on transfer state change; notification includes SKU, qty, status, ETA",Medium,2,2,To Do,Inter-store Transfers
TEAM5-87,Sales Associate,"As a Sales Associate, I want to verify a client's digital receipt at BOPIS pickup, so that only the correct person collects the reserved item.",Receipt validated against the reservation; identity/order match required; mismatch blocks handover,Medium,3,2,To Do,"Sell, QR & Payments"
TEAM5-88,Manager,"As a Manager, I want to view an inventory dashboard with stock levels, low-stock alerts, and a one-tap restock request to the Admin, so that I can manage store inventory in one place.",Dashboard shows on-hand per SKU + low-stock alerts; one-tap restock request to Admin from a flagged item,High,3,1,Done,Inventory Base
TEAM5-89,Sales Associate,"As a Sales Associate, I want to use the app in multiple languages, so that I can serve clients in their preferred language.",App supports multiple languages via localization; associate can switch language; all associate-facing screens localized,Lowest,5,3,To Do,Accessibility & Localization
